name,course_number,course_level
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
A Crash Course In Surfing,SEN1337,N/A
A History Of Food And Election Campaigns,HSS2019,Intermediate Liberal Arts (UGrad)
"Accessing Health?des,inequal,pol Of Place",ANT4600,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
Accounting Analytics,ACC3546,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Acting Workshop,PRF1200,Free Elective (UGrad)
Advanced Accounting,ACC4530,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Affordable Design And Entrepreneurship,EPS4515,"Advanced Elective (UGrad),Advanced Management (UGrad)"
Afr American History And Foodways,CVA2002,Intermediate Liberal Arts (UGrad)
Afr American History And Foodways,CSP2002,Intermediate Liberal Arts (UGrad)
Africa Rising?,POL4601,"Advanced Liberal Arts 4600 Requirement (UGrad),Advanced Elective (UGrad),Advanced Liberal Arts (UGrad)"
